idTram,infoDisponible,data,tempsActual,tempsPrevist,tempsRecorregutFutur,factorReferenciaActual,tendencia
42,1,20260101010058,224,221,1,1,1
43,0,20260101010058,0,0,-1,-1,-1
44,0,20260101010058,0,0,-1,-1,-1
45,0,20260101010058,0,0,-1,-1,-1
46,0,20260101010058,0,0,-1,-1,-1
47,1,20260101010058,181,180,1,1,1
48,0,20260101010058,0,0,-1,-1,-1
49,1,20260101010058,304,304,1,1,1
50,1,20260101010058,0,0,-1,-1,-1
51,1,20260101010058,269,269,1,1,1
52,1,20260101010058,299,299,1,1,1
53,1,20260101010058,149,148,1,1,1
54,1,20260101010058,164,164,1,1,1
55,1,20260101010058,0,0,-1,-1,-1
56,1,20260101010058,0,0,-1,-1,-1
57,1,20260101010058,0,0,-1,-1,-1
58,1,20260101010058,0,0,-1,-1,-1
59,1,20260101010058,164,164,1,1,1
60,1,20260101010058,415,415,1,1,1
61,1,20260101010058,285,285,1,1,1
62,0,20260101010058,0,0,-1,-1,-1
63,0,20260101010058,0,0,-1,-1,-1
64,0,20260101010058,0,0,-1,-1,-1
65,1,20260101010058,135,134,1,1,1
66,1,20260101010058,103,104,1,1,1
67,1,20260101010058,230,247,1,1,1
68,1,20260101010058,116,120,1,1,1
69,1,20260101010058,118,123,2,1,0
70,1,20260101010058,124,127,1,1,1
71,0,20260101010058,98,98,1,1,1
72,0,20260101010058,173,174,1,1,1
73,0,20260101010058,115,114,1,1,1
74,0,20260101010058,92,95,1,1,1
75,0,20260101010058,233,234,1,1,1
76,0,20260101010058,80,85,1,1,1
77,1,20260101010058,431,431,1,1,1
78,1,20260101010058,0,0,-1,-1,-1
1,1,20260101011631,304,304,1,1,1
2,1,20260101011631,0,0,-1,-1,-1
3,1,20260101011631,304,305,1,1,1
4,1,20260101011631,326,326,1,1,1
5,1,20260101011631,0,0,-1,-1,-1
6,1,20260101011631,285,281,1,1,1
7,1,20260101011631,188,188,1,1,1
8,0,20260101011631,0,0,-1,-1,-1
9,0,20260101011631,0,0,-1,-1,-1
10,1,20260101011631,171,171,1,1,1
11,1,20260101011631,0,0,-1,-1,-1
12,1,20260101011631,101,100,1,1,1
13,1,20260101011631,232,232,1,1,1
14,0,20260101011631,0,0,-1,-1,-1
15,1,20260101011631,220,220,1,1,1
16,1,20260101011631,238,238,1,1,1
17,1,20260101011631,192,192,1,1,1
18,1,20260101011631,0,0,-1,-1,-1
19,0,20260101011631,0,0,-1,-1,-1
20,0,20260101011631,0,0,-1,-1,-1
21,1,20260101011631,0,0,-1,-1,-1
22,1,20260101011631,270,270,1,1,1
23,1,20260101011631,189,189,1,1,1
24,1,20260101011631,240,240,1,1,1
25,1,20260101011631,0,0,-1,-1,-1
26,1,20260101011631,0,0,-1,-1,-1
27,1,20260101011631,185,185,1,1,1
28,1,20260101011631,0,0,-1,-1,-1
29,1,20260101011631,0,0,-1,-1,-1
30,1,20260101011631,0,0,-1,-1,-1
31,1,20260101011631,219,219,1,1,1
32,1,20260101011631,0,0,-1,-1,-1
33,1,20260101011631,0,0,-1,-1,-1
34,1,20260101011631,220,220,1,1,1
35,1,20260101011631,153,152,1,1,1
36,1,20260101011631,0,0,-1,-1,-1
37,1,20260101011631,206,206,1,1,1
38,1,20260101011631,204,204,1,1,1
39,1,20260101011631,0,0,-1,-1,-1
40,1,20260101011631,289,289,1,1,1
41,0,20260101011631,0,0,-1,-1,-1
42,1,20260101011631,227,224,0,1,2
43,0,20260101011631,0,0,-1,-1,-1
44,0,20260101011631,0,0,-1,-1,-1
45,0,20260101011631,0,0,-1,-1,-1
46,0,20260101011631,0,0,-1,-1,-1
47,1,20260101011631,181,180,1,1,1
48,0,20260101011631,0,0,-1,-1,-1
